customerNumber,customerName,contact_person,phone,city,country,salesRepEmployeeNumber,creditLimit
103,Atelier graphique,Carine Schmitt,40.32.2555,Nantes,France,1370,21000
112,Signal Gift Stores,Jean King,7025551838,Las Vegas,USA,1166,71800
114,"Australian Collectors, Co.",Peter Ferguson,7025551838,Melbourne,Australia,1611,117300
119,La Rochelle Gifts,Janine Labrune,7025551838,Nantes,France,1370,118200
121,Baane Mini Imports,Jonas Bergulfsen,7025551838,Stavern,Norway,1504,81700
124,Mini Gifts Distributors Ltd.,Susan Nelson,7025551838,San Rafael,USA,1165,210500
125,Havel & Zbyszek Co,Zbyszek Piestrzeniewicz,7025551838,Warszawa,Poland,0,0
128,"Blauer See Auto, Co.",Roland Keitel,7025551838,Frankfurt,Germany,1504,59700
129,Mini Wheels Co.,Julie Murphy,7025551838,San Francisco,USA,1165,64600
131,Land of Toys Inc.,Kwai Lee,7025551838,NYC,USA,1323,114900
141,Euro+ Shopping Channel,Diego Freyre,7025551838,Madrid,Spain,1370,227600
144,"Volvo Model Replicas, Co",Christina Berglund,7025551838,Luleå,Sweden,1504,53100
145,Danish Wholesale Imports,Jytte Petersen,7025551838,Kobenhavn,Denmark,1401,83400
146,"Saveley & Henriot, Co.",Mary Saveley,7025551838,Lyon,France,1337,123900
148,"Dragon Souveniers, Ltd.",Eric Natividad,7025551838,Singapore,Singapore,1621,103800
151,Muscle Machine Inc,Jeff Young,7025551838,NYC,USA,1286,138500
157,Diecast Classics Inc.,Kelvin Leong,7025551838,Allentown,USA,1216,100600
161,Technics Stores Inc.,Juri Hashimoto,7025551838,Burlingame,USA,1165,84600
166,Handji Gifts& Co,Wendy Victorino,7025551838,Singapore,Singapore,1612,97900
167,Herkku Gifts,Veysel Oeztan,7025551838,Bergen,Norway  ,1504,96800
168,American Souvenirs Inc,Keith Franco,7025551838,New Haven,USA,1286,0
169,Porto Imports Co.,Isabel de Castro,7025551838,Lisboa,Portugal,0,0
171,Daedalus Designs Imports,Martine Rancé,7025551838,Lille,France,1370,82900
172,"La Corne D'abondance, Co.",Marie Bertrand,7025551838,Paris,France,1337,84300
173,Cambridge Collectables Co.,Jerry Tseng,7025551838,Cambridge,USA,1188,43400
175,Gift Depot Inc.,Julie King,7025551838,Bridgewater,USA,1323,84300
177,Osaka Souveniers Co.,Mory Kentary,7025551838,Kita-ku,Japan,1621,81200
181,Vitachrome Inc.,Michael Frick,7025551838,NYC,USA,1286,76400
186,"Toys of Finland, Co.",Matti Karttunen,7025551838,Helsinki,Finland,1501,96500
187,"AV Stores, Co.",Rachel Ashworth,7025551838,Manchester,UK,1501,136800
189,"Clover Collections, Co.",Dean Cassidy,7025551838,Dublin,Ireland,1504,69400
198,Auto-Moto Classics Inc.,Leslie Taylor,7025551838,Brickhaven,USA,1216,23000
201,"UK Collectables, Ltd.",Elizabeth Devon,7025551838,Liverpool,UK,1501,92700
202,Canadian Gift Exchange Network,Yoshi Tamuri,7025551838,Vancouver,Canada,1323,90300
204,Online Mini Collectables,Miguel Barajas,7025551838,Brickhaven,USA,1188,68700
205,Toys4GrownUps.com,Julie Young,7025551838,Pasadena,USA,1166,90700
206,"Asian Shopping Network, Co",Brydey Walker,7025551838,Singapore,Singapore,0,0
209,Mini Caravy,Frédérique Citeaux,7025551838,Strasbourg,France,1370,53800
211,"King Kong Collectables, Co.",Mike Gao,7025551838,Central Hong Kong,Hong Kong,1621,58600
216,Enaco Distributors,Eduardo Saavedra,7025551838,Barcelona,Spain,1702,60300
219,Boards & Toys Co.,Mary Young,7025551838,Glendale,USA,1166,11000
223,Natürlich Autos,Horst Kloss,7025551838,Cunewalde,Germany,0,0
227,Heintze Collectables,Palle Ibsen,7025551838,Århus,Denmark,1401,120800
233,Québec Home Shopping Network,Jean Fresnière,7025551838,Montréal,Canada,1286,48700
237,ANG Resellers,Alejandra Camino,7025551838,Madrid,Spain,0,0
239,Collectable Mini Designs Co.,Valarie Thompson,7025551838,San Diego,USA,1166,105000
240,giftsbymail.co.uk,Helen Bennett,7025551838,Cowes,UK,1501,93900
242,Alpha Cognac,Annette Roulet,7025551838,Toulouse,France,1370,61100
247,Messner Shopping Network,Renate Messner,7025551838,Frankfurt,Germany,0,0
249,Amica Models & Co.,Paolo Accorti,7025551838,Torino,Italy,1401,113000
250,Lyon Souveniers,Daniel Da Silva,7025551838,Paris,France,1337,68100
256,Auto Associés & Cie.,Daniel Tonini,7025551838,Versailles,France,1370,77900
259,"Toms Spezialitäten, Ltd",Henriette Pfalzheim,7025551838,Köln,Germany,1504,120400
260,"Royal Canadian Collectables, Ltd.",Elizabeth Lincoln,7025551838,Tsawassen,Canada,1323,89600
273,"Franken Gifts, Co",Peter Franken,7025551838,München,Germany,0,0
276,"Anna's Decorations, Ltd",Anna O'Hara,7025551838,North Sydney,Australia,1611,107800
278,Rovelli Gifts,Giovanni Rovelli,7025551838,Bergamo,Italy,1401,119600
282,Souveniers And Things Co.,Adrian Huxley,7025551838,Chatswood,Australia,1611,93300
286,Marta's Replicas Co.,Marta Hernandez,7025551838,Cambridge,USA,1216,123700
293,BG&E Collectables,Ed Harrison,7025551838,Fribourg,Switzerland,0,0
298,"Vida Sport, Ltd",Mihael Holz,7025551838,Genève,Switzerland,1702,141300
299,"Norway Gifts By Mail, Co.",Jan Klaeboe,7025551838,Oslo,Norway  ,1504,95100
303,Schuyler Imports,Bradley Schuyler,7025551838,Amsterdam,Netherlands,0,0
307,Der Hund Imports,Mel Andersen,7025551838,Berlin,Germany,0,0
311,"Oulu Toy Supplies, Inc.",Pirkko Koskitalo,7025551838,Oulu,Finland,1501,90500
314,Petit Auto,Catherine Dewey,7025551838,Bruxelles,Belgium,1401,79900
319,Mini Classics,Steve Frick,7025551838,White Plains,USA,1323,102700
320,Mini Creations Ltd.,Wing Huang,7025551838,New Bedford,USA,1188,94500
321,Corporate Gift Ideas Co.,Julie Brown,7025551838,San Francisco,USA,1165,105000
323,"Down Under Souveniers, Inc",Mike Graham,7025551838,Auckland  ,New Zealand,1612,88000
324,"Stylish Desk Decors, Co.",Ann Brown,7025551838,London,UK,1501,77000
328,Tekni Collectables Inc.,William Brown,7025551838,Newark,USA,1323,43000
333,"Australian Gift Network, Co",Ben Calaghan,7025551838,South Brisbane,Australia,1611,51600
334,Suominen Souveniers,Kalle Suominen,7025551838,Espoo,Finland,1501,98800
335,"Cramer Spezialitäten, Ltd",Philip Cramer,7025551838,Brandenburg,Germany,0,0
339,"Classic Gift Ideas, Inc",Francisca Cervantes,7025551838,Philadelphia,USA,1188,81100
344,CAF Imports,Jesus Fernandez,7025551838,Madrid,Spain,1702,59600
347,"Men 'R' US Retailers, Ltd.",Brian Chandler,7025551838,Los Angeles,USA,1166,57700
348,"Asian Treasures, Inc.",Patricia McKenna,7025551838,Cork,Ireland,0,0
350,Marseille Mini Autos,Laurence Lebihan,7025551838,Marseille,France,1337,65000
353,Reims Collectables,Paul Henriot,7025551838,Reims,France,1337,81100
356,"SAR Distributors, Co",Armand Kuger,7025551838,Hatfield,South Africa,0,0
357,GiftsForHim.com,Wales MacKinlay,7025551838,Auckland,New Zealand,1612,77700
361,Kommission Auto,Karin Josephs,7025551838,Münster,Germany,0,0
362,Gifts4AllAges.com,Juri Yoshido,7025551838,Boston,USA,1216,41900
363,Online Diecast Creations Co.,Dorothy Young,7025551838,Nashua,USA,1216,114200
369,"Lisboa Souveniers, Inc",Lino Rodriguez,7025551838,Lisboa,Portugal,0,0
376,Precious Collectables,Braun Urs,7025551838,Bern,Switzerland,1702,0
379,Collectables For Less Inc.,Allen Nelson,7025551838,Brickhaven,USA,1188,70700
381,Royale Belge,Pascale Cartrain,7025551838,Charleroi,Belgium,1401,23500
382,Salzburg Collectables,Georg Pipps,7025551838,Salzburg,Austria,1401,71700
385,Cruz & Sons Co.,Arnold Cruz,7025551838,Makati City,Philippines,1621,81500
386,L'ordine Souveniers,Maurizio Moroni,7025551838,Reggio Emilia,Italy,1401,121400
398,"Tokyo Collectables, Ltd",Akiko Shimamura,7025551838,Minato-ku,Japan,1621,94400
406,Auto Canal+ Petit,Dominique Perrier,7025551838,Paris,France,1337,95000
409,Stuttgart Collectable Exchange,Rita Müller,7025551838,Stuttgart,Germany,0,0
412,"Extreme Desk Decorations, Ltd",Sarah McRoy,7025551838,Wellington,New Zealand,1612,86800
415,"Bavarian Collectables Imports, Co.",Michael Donnermeyer,7025551838,Munich,Germany,1504,77000
424,Classic Legends Inc.,Maria Hernandez,7025551838,NYC,USA,1286,67500
443,"Feuer Online Stores, Inc",Alexander Feuer,7025551838,Leipzig,Germany,0,0
447,Gift Ideas Corp.,Dan Lewis,7025551838,Glendale,USA,1323,49700
448,Scandinavian Gift Ideas,Martha Larsson,7025551838,Bräcke,Sweden,1504,116400
450,The Sharp Gifts Warehouse,Sue Frick,7025551838,San Jose,USA,1165,77600
452,Mini Auto Werke,Roland Mendel,7025551838,Graz,Austria,1401,45300
455,Super Scale Inc.,Leslie Murphy,7025551838,New Haven,USA,1286,95400
456,Microscale Inc.,Yu Choi,7025551838,NYC,USA,1286,39800
458,"Corrida Auto Replicas, Ltd",Martín Sommer,7025551838,Madrid,Spain,1702,104600
459,Warburg Exchange,Sven Ottlieb,7025551838,Aachen,Germany,0,0
462,FunGiftIdeas.com,Violeta Benitez,7025551838,New Bedford,USA,1216,85800
465,"Anton Designs, Ltd.",Carmen Anton,7025551838,Madrid,Spain,0,0
471,"Australian Collectables, Ltd",Sean Clenahan,7025551838,Glen Waverly,Australia,1611,60300
473,Frau da Collezione,Franco Ricotti,7025551838,Milan,Italy,1401,34800
475,West Coast Collectables Co.,Steve Thompson,7025551838,Burbank,USA,1166,55400
477,Mit Vergnügen & Co.,Hanna Moos,7025551838,Mannheim,Germany,0,0
480,"Kremlin Collectables, Co.",Alexander Semenov,7025551838,Saint Petersburg,Russia,0,0
481,"Raanan Stores, Inc","Raanan Altagar,G M",7025551838,Herzlia,Israel,0,0
